Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,3,16,3,11,0.0136,0,4.17,4.48,High,575.6496,320111.6379,327247,178982.2641,49607.0137,13760.4324,6110.765,2250.9785,1626.8215,2151.1134,7948.283,7249.2272,3868.7933,2201.0459,822.9074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,3,16,3,11,3.2499,0,4.17,4.48,Medium,575.6496,9446.3648,76849.6603,246563.4012,394298.5663,457998,433915.9102,318215.6551,158243.7695,58484.0968,15002.1575,5330.1864,4575.4372,3429.3366,6553.1596,6210.7271,6056.9819,4645.3214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,3,16,3,11,4.4217,0,4.17,4.48,Medium,575.6496,2062.7304,8705.0916,40196.8145,122652.2734,218379.93,273623,257223.7573,187092.7802,91841.069,36188.853,10917.8204,5152.2007,2338.2777,3619.9904,4050.0113,4371.4832,3344.4431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,3,16,3,11,4.8814,0,4.17,4.48,Medium,575.6496,1359.4583,3057.2939,9677.172,30187.363,69225.816,101304.8238,110184,87972.6113,48838.3398,19778.4537,6963.997,3512.8518,2771.5196,2203.333,2522.7279,3060.656,2927.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,4,13,2,7,0.0845,0,3.87,3.97,Medium,618.3358,651077,522729.3421,217701.2329,43236.2418,7341.8159,5583.3566,121423.1036,21657.8601,11365.4091,3656.0057,1202.1106,1529.9589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,4,13,2,7,1.7094,0,3.87,3.97,Medium,618.3358,79435.1346,260705.2503,300322,252804.8135,160620.8301,65673.5268,20791.3468,6259.8589,8413.6903,15709.2213,27651.5289,29255.4459,26230.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,4,13,2,7,2.3194,0,3.87,3.97,Medium,618.3358,23981.1733,95476.9861,170963.71,180003,158068.0956,84556.2273,29611.8462,7847.2354,4026.6178,3982.6711,7948.8622,10184.6513,14167.3224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,4,13,2,7,2.6325,0,3.87,3.97,Medium,618.3358,11791.7394,43702.255,95808.105,116680,110961.2824,66210.3584,25143.129,6947.2093,3096.155,2659.9515,3790.5199,6350.7677,9325.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,4,13,2,7,0.0829,0,3.7,3.84,High,618.3358,638165,535801.5228,241233.8681,54911.3059,8900.3252,1820.9637,13097.3056,5910.8286,2833.6921,1246.435,525.8398,2707.1011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,4,13,2,7,1.9373,0,3.7,3.84,Medium,618.3358,707841.9139,1177385.237,1287673,1175597.212,944254.2361,556999.3775,198628.0058,44936.418,13537.9064,21574.1963,35878.3993,44189.77,42657.1768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,4,13,2,7,2.6012,0,3.7,3.84,High,618.3358,126395.9531,522653.8888,879771.1962,975316,834692.5029,595041.7277,277749.6377,83594.2622,20388.8444,4598.6518,6072.0062,9182.4212,18930.3724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,4,13,2,7,2.9196,0,3.7,3.84,High,618.3358,31416.0658,215579.9763,449889.6155,728024,693841.8096,516932.0331,244229.9174,76529.4474,16930.0157,4465.7915,3410.4428,4199.1771,6432.0729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,4,13,2,7,0.1759,0,3.7,3.89,Medium,618.3358,1118560,952521.2164,461197.9821,112308.3055,21454.6413,5239.9164,26848.1709,21522.9139,9848.3119,2457.8109,989.9516,8243.9075,4523.0549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,4,13,2,7,2.0133,0,3.7,3.89,Medium,618.3358,544676.4282,1406448.155,1456158.187,1611954,1379785.278,904207.1204,347631.8653,75370.4415,18109.2079,18330.5786,30530.5665,47649.9044,60956.7461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,4,13,2,7,2.5467,0,3.7,3.89,Medium,618.3358,100808.9073,605150.8263,914790.7024,1111970,1059591.333,750816.799,358154.9538,96787.6102,20298.1279,9455.8965,19178.2731,28968.5196,39878.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,4,13,2,7,3.0144,0,3.7,3.89,Medium,618.3358,26766.298,230403.3954,605089.4822,818630.671,919355,707890.023,379259.3641,121696.8738,28618.0545,6593.3753,6312.8061,10409.1159,13944.2873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,4,13,2,7,0.1621,0,3.7,3.91,Medium,618.3358,1327444,1115451.086,629119.1658,145197.6373,25974.4103,7076.1312,84066.8695,53440.7195,16758.2077,2822.4992,1040.0249,4604.9736,4037.8227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,4,13,2,7,2.0366,0,3.7,3.91,Medium,618.3358,526963.2954,1448529.895,1414290.344,1509019,1321910.333,819899.1143,304187.4703,64096.1495,22856.7177,42313.6244,78694.586,100269.8778,102549.4444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,4,13,2,7,2.5118,0,3.7,3.91,Medium,618.3358,188572.194,808098.9447,1157481.792,1235533,1190851.511,874046.5596,423668.4656,115366.1937,25060.569,11957.7695,23137.5682,39860.1338,55998.258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,4,13,2,7,3.0599,0,3.7,3.91,Medium,618.3358,35748.314,253933.6326,743989.304,806330.0002,932976,780021.3437,427957.9921,141751.6992,32374.3143,7574.7041,8016.029,14906.3914,24131.5047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,4,13,2,7,0.1046,0,3.8,3.91,Medium,618.3358,793200,711586.3951,372580.6912,81323.122,15613.4585,3969.9336,172558.9746,123080.0458,36443.5065,3146.8986,1319.2767,2420.6912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,4,13,2,7,1.9786,0,3.8,3.91,Medium,618.3358,194052.4252,624419.2284,720825,659395.8803,522876.9485,280504.1496,90024.3833,21555.9374,20313.0564,50857.1326,108711.5945,155215.1429,159163.7649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,4,13,2,7,2.4189,0,3.8,3.91,Medium,618.3358,58432.0967,296479.2417,511808,492447.7798,486668.6096,311083.361,127547.8486,33683.1907,8832.7588,13557.6209,32816.3152,57252.8336,74231.0985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,4,13,2,7,2.9884,0,3.8,3.91,Medium,618.3358,11969.0974,80525.5732,251848.6671,343280,339079.0301,266405.3944,122849.5589,34807.2877,9187.6573,4850.4964,10937.1884,20978.6587,36305.3892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,4,13,2,7,0.1642,0,3.69,3.88,Medium,618.3358,1074946,981205.0007,510121.6236,125972.1566,21323.4119,4822.3716,62592.4153,50651.3046,19765.1626,5347.2556,1574.652,5101.2162,3641.3827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,4,13,2,7,1.9047,0,3.69,3.88,Medium,618.3358,443795.1028,1138710,1106513.238,1118450.192,916616.6306,496616.5582,162764.1095,39346.0839,22526.6205,50032.0033,38668.4402,60457.2906,63550.1258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,4,13,2,7,2.4051,0,3.69,3.88,Medium,618.3358,140639.3674,617134.1489,913247.9062,915455,870810.2425,624370.0639,256707.3554,71451.1685,15743.0043,13535.9105,27015.9452,51978.4551,65765.8067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,4,13,2,7,2.8206,0,3.69,3.88,Medium,618.3358,33937.7141,175971.6822,514787.354,563510.4326,584062,429212.267,195614.2037,52439.4722,10997.6731,5347.3289,9179.5813,16612.3685,26914.8888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,4,13,2,7,0.049,0,3.73,3.84,High,618.3358,576834,484633.8604,204433.4552,40832.1191,6469.4131,2130.0653,8986.763,6531.0266,1998.0364,1047.4288,888.9942,8634.6861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,4,13,2,7,1.9791,0,3.73,3.84,High,618.3358,236593.1251,707729.3139,708015.6353,750563,590933.0756,312124.7187,101483.7681,19905.0659,6505.2229,10215.9487,14098.4673,21978.0331,21325.2202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,4,13,2,7,2.5151,0,3.73,3.84,High,618.3358,58485.8636,263969.2085,493291,476324.8306,460811.3988,320204.4578,135706.7741,32923.7024,7369.0683,3086.1266,4200.1431,5607.7179,10139.0551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,4,13,2,7,2.8047,0,3.73,3.84,High,618.3358,14776.3573,71553.8293,198021.0625,278908,243754.5693,169110.9833,76022.4858,18513.0053,5447.505,1859.8123,1574.6694,2161.9785,3357.8761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,4,16,2,10,0.0993,0,3.84,3.97,High,789.4366,770329,714495.2814,421832.5601,124138.9268,31290.3914,9050.9397,3385.2865,2362.6479,1281.2369,505.4421,423.1608,223.3349,352.634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,4,16,2,10,3.0179,0,3.84,3.97,High,789.4366,17804.2514,105124.6958,280808.991,391229.1247,395258,316761.275,178416.4516,75589.6622,25289.0332,8817.6882,4089.1878,1556.0626,1013.2501,506.625,259.3438,367.9063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,4,16,2,10,4.2014,0,3.84,3.97,High,789.4366,2718.4928,12658.2111,44734.228,124636.6668,208613.181,240103,186824.9375,108875.2705,51944.4623,19681.5948,6279.6451,3026.2467,1322.609,454.3034,230.8154,333.4001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,4,16,2,10,4.5849,0,3.84,3.97,High,789.4366,3090.1233,4722.9726,17138.3331,52161.1939,106407.3432,143829,134874.6654,93801.0446,44150.5759,19157.4478,5486.7247,2289.0615,783.5043,427.9645,445.522,177.7699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,4,16,2,10,0.001,0,3.72,3.99,High,789.4366,775512,707469.0611,294016.4973,72894.6963,14744.609,3893.2395,2993.8893,1857.8681,1017.6857,840.1824,520.6764,236.6711,508.8428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,4,16,2,10,3.1256,0,3.72,3.99,Medium,789.4366,99504.9261,614148.4567,1185341.35,1319886.195,1383338,1331010.314,997666.7007,509809.7105,161753.553,49710.2463,12665.0309,4221.677,2174.1636,1266.5031,823.227,633.2515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,4,16,2,10,4.3039,0,3.72,3.99,High,789.4366,7719.3223,43960.1332,221311.9345,553702.1025,866831.0056,970990,894893.187,642185.3906,292711.9622,101640.2136,34907.3387,9571.3671,2963.2715,1229.7577,563.0216,726.0015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,4,16,2,10,4.8734,0,3.72,3.99,High,789.4366,6792.4499,9139.475,49655.4936,178851.271,447734.8239,631886.7916,651747,484581.1295,248396.8081,103706.6867,33325.7679,9527.3308,3162.5169,1054.1723,785.6567,457.471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,4,16,2,10,0.0641,0,3.72,4.02,High,789.4366,1302811,1225061.8,661693.2042,166790.025,34729.6989,9522.3387,3518.693,1689.7678,914.4626,516.8702,556.6294,815.0645,496.9905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,4,16,2,10,3.301,0,3.72,4.02,High,789.4366,53886.3106,387311.0076,1106962.937,1584706.163,1651749,1514512.816,1051639.994,627178.1814,263861.4524,74427.631,21045.4019,8065.3037,2822.8563,1209.7956,1033.367,655.3059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,4,16,2,10,4.2937,0,3.72,4.02,High,789.4366,6231.0205,41207.6109,204288.4576,545828.1868,894396.9982,1005788,820775.8029,592606.8825,327343.4387,116777.9185,35943.4729,9177.71,2915.9948,1335.2187,675.283,460.4202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,4,16,2,10,4.9213,0,3.72,4.02,High,789.4366,5787.4294,11286.5172,50964.3919,192014.9631,460131.5338,674874,667644.8622,535821.2248,336556.5281,141678.7441,41490.3082,10792.2172,4047.0814,1565.2834,1112.1751,535.4917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,4,16,2,10,0.034,0,3.72,4.02,High,789.4366,1366361,1176173.807,640513.9349,191107.5613,33737.1458,10135.7533,4068.6109,1670.9429,586.78,962.0672,1504.1486,732.725,440.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,4,16,2,10,3.2035,0,3.72,4.02,High,789.4366,62927.1221,461588.1756,1196193.356,1650477.256,1721891,1502210.972,963376.1411,617474.0275,229296.4486,60063.2155,14897.5692,5780.3619,2496.0654,1366.2674,840.7799,735.6824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,4,16,2,10,4.2015,0,3.72,4.02,High,789.4366,10180.0588,64142.6471,277973.5412,688552.6941,1057749.494,1084797,947672.4353,731126.8588,387554.0118,123667.0235,36399.9176,8657.1882,2913.3176,1241.4706,811.0941,794.5412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,4,16,2,10,4.8574,0,3.72,4.02,High,789.4366,8475.8304,12423.8154,62143.7521,227835.7495,529622.1939,760492.957,808535,653317.5004,401201.6429,151158.4775,44106.3954,12226.4162,4207.0716,1788.9307,851.2843,407.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,4,16,2,10,0.083,0,3.81,3.93,High,789.4366,861147,736590.4667,388978.004,130522.2118,21326.6435,5387.507,1130.0624,762.1351,381.0676,407.3481,420.4883,643.8728,144.5429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,4,16,2,10,3.2139,0,3.81,3.93,High,789.4366,20772.7918,150204.1527,439336.4597,694063.1083,757144,610752.4287,413526.4392,232532.8037,84616.1998,22875.4882,5984.5974,2044.93,843.3892,635.4302,196.4057,554.5573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,4,16,2,10,4.1251,0,3.81,3.93,High,789.4366,4423.4729,21925.8721,104861.2012,268050.9668,400155.1438,418315,368909.9783,263110.4646,123404.042,40666.5883,11381.0276,3191.5389,1046.8248,465.9647,319.1539,185.1093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,4,16,2,10,4.8326,0,3.81,3.93,High,789.4366,2909.1896,4117.6972,22591.2949,84502.9431,198429.1472,273112.9662,319353,241526.0867,126571.6765,53320.5238,14136.6148,3913.0306,1408.3012,497.0475,292.3809,345.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,4,16,2,10,0.1012,0,3.72,4.02,High,789.4366,1173675.322,1184046,769797.0233,206040.4453,37995.7082,9521.5113,3270.1965,1571.8624,632.3584,867.2344,596.2237,361.3477,379.4151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,4,16,2,10,3.078,0,3.72,4.02,High,789.4366,73806.9647,436037.6742,1080396.114,1420159.992,1447752,1168098.493,751169.7758,440190.8347,145161.7974,38394.6437,10095.7147,3578.7873,1877.7588,861.5599,441.8256,552.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,4,16,2,10,4.1196,0,3.72,4.02,High,789.4366,8891.1467,56147.4556,243881.1635,574770.4906,843897.6165,890950,762939.2393,557409.6429,257802.4697,88911.4672,22499.7673,6376.067,2188.7991,842.8916,1074.007,421.4458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,4,16,2,10,4.5925,0,3.72,4.02,High,789.4366,6585.7787,14119.84,60315.9892,211710.6011,416426.5309,570144,557807.6272,412972.6945,200670.5044,76280.1952,20053.1307,5872.3919,2235.8588,1035.2809,608.9888,713.3869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,4,16,2,10,0.0008,0,3.72,3.99,High,789.4366,497761,457968.9823,211750.6511,58317.0666,12942.4696,4238.2031,1967.1946,1541.8552,736.7486,1572.2366,1124.1112,797.5113,759.5346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,4,16,2,10,3.1436,0,3.72,3.99,High,789.4366,29458.4661,193176.6991,550496.9236,853106.2449,905427,693311.7231,477479.9732,235798.7032,82539.0949,25120.2783,9273.4586,4009.6065,2033.935,1191.1661,997.7437,1108.2708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,4,16,2,10,4.284,0,3.72,3.99,High,789.4366,4974.8376,21799.2175,91390.6511,235414.6615,391998.9053,461140,427505.3132,301107.8489,141096.8075,45934.5681,14023.8349,4172.6714,2244.658,1161.03,964.0067,858.4585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,4,16,2,10,4.6437,0,3.72,3.99,High,789.4366,4947.8382,7104.814,20243.2907,62825.2199,135563.7241,186682.5818,192323,131135.3209,67106.8901,22541.1301,8067.3827,3295.6242,1570.0436,968.4381,856.921,669.1027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
