Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,1,13,3,10,3.8329,0,5.26,5.37,Medium,567.9706,1089.6404,4375.6501,12539.9115,36195.3614,65876,64205.3521,44927.5627,25825.6839,8962.3929,2188.3276,2913.0792,654.3874,719.7256,1677.6844,1241.4261,1935.0164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,1,13,3,10,0.0036,0,5.24,5.39,Medium,567.9706,93120,90775.4818,40429.4401,12350.6377,4940.5393,964.8048,524.3195,5571.4278,1449.3385,625.2049,8848.0696,7752.5402,3590.6651,3482.6752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,1,13,3,10,2.3316,0,5.24,5.39,Medium,567.9706,10062.084,58663.5102,123152.2396,167778,150910.2203,86339.5713,35974.3114,23765.715,3641.627,1596.1943,6590.7365,3403.5479,6488.3368,8334.0902,4527.3838,2878.7497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,1,13,3,10,3.312,0,5.24,5.39,Medium,567.9706,2082.6665,13013.4101,27771.9989,62592.4767,88150,71841.9814,43660.3802,27972.4026,7158.6633,2499.6137,6868.1452,1381.926,2444.4691,4799.5487,3852.6749,3119.6547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,1,13,3,10,3.8698,0,5.24,5.39,Medium,567.9706,1223.8325,4841.9042,5484.1587,13224.0311,25009,23416.9111,16645.1905,11283.148,4169.8839,1945.8441,4643.8471,628.898,760.9361,2923.1547,2910.943,3586.0162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,1,16,3,13,0.0508,0,5.08,5.38,Medium,682.0378,672879.676,918635,650117.805,281624.9784,67461.5616,11622.0948,2693.9471,2623.8675,3156.4728,2035.1984,1937.0869,2175.3577,1516.609,843.8443,1082.1151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,1,16,3,13,3.2521,0,5.08,5.38,Medium,682.0378,8334.8103,48136.738,173306.5287,259796.3253,389068,344036.3187,231955.7525,133445.2395,57397.1417,17239.0447,5960.3478,2523.3133,1169.8697,1241.1036,1318.2736,997.7212,1555.7198,1704.1238,1021.4658,1110.5081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,1,16,3,13,4.8229,0,5.08,5.38,Medium,682.0378,1538.0762,4476.8772,16128.6448,52142.6461,127252.4347,199393,183619.0013,183552.0721,114855.319,49985.7,21409.9682,7333.5377,2374.6914,1422.4712,1346.4153,795.7704,874.8686,1541.1185,1455.9359,652.7853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,1,16,3,13,5.3575,0,5.08,5.38,Medium,682.0378,1064.7393,2848.1105,6037.2514,18309.3019,52677.8677,113717.3868,132253.9837,149080,107755.3767,56942.9455,24698.9572,10243.1868,3341.7222,1153.4529,1023.7946,978.3004,1023.7946,862.2903,866.8397,764.4778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,1,16,3,13,0.0118,0,4.98,5.26,High,682.0378,301160.2505,412786,227477.9338,63969.705,16697.8818,3810.7199,988.8976,818.8324,459.8059,277.1433,472.4033,522.793,264.5458,340.1304,554.2865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,1,16,3,13,3.234,0,4.98,5.26,High,682.0378,21917.7107,141723.3854,462757.4539,767821.2417,936152,734966.4602,637416.3288,362007.5524,143266.1317,44373.2396,13804.0082,3790.4422,1462.0381,1819.1553,1347.7606,1190.6291,1276.3372,1104.9209,1190.6291,1590.6003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,1,16,3,13,4.9266,0,4.98,5.26,High,682.0378,3839.7387,9490.8788,34795.2644,106447.8756,283186.5452,388257.81,484771,421210.4665,249642.1463,134777.5444,53982.5126,14897.9253,4623.7974,2086.7017,1243.4688,895.8201,636.9328,777.4716,725.6941,858.8362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,1,16,3,13,5.6542,0,4.98,5.26,High,682.0378,1369.5685,2867.9943,5272.1024,18124.6929,66173.7213,141481.5809,209558.7079,241276,182881.5751,101881.9066,44853.3686,17366.2759,5566.6333,1785.5933,787.8701,743.6904,725.2822,600.1066,504.3841,331.3472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,1,16,3,13,0.0012,0,5.09,5.39,Medium,682.0378,468320.8726,620831,411560.5817,125656.1925,25065.8172,6186.7685,1658.8281,2748.1861,1639.8827,1175.7214,938.9045,1118.8854,919.9591,4936.3749,5561.5717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,1,16,3,13,3.4772,0,5.09,5.39,Medium,682.0378,6169.9221,42184.7945,178113.4909,384520.065,467231.2776,541011,376339.7444,194226.4936,84357.6074,30223.8616,10511.8481,3627.5016,2612.1843,3074.4426,2158.1807,5484.7893,5773.7008,8217.0659,6772.5088,2669.9666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
